Jobtitle,Female Avg Hrly Rate,No. Female Empl,Average of Female MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Male Avg Hrly Rate,No. Male Empl,Average of Male MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
"Fire Chief,Dep-80 Hrs",,,,75.26,5,29,75.26,5,29,,no women in title
"Fire Chief,Dep-91.4 Hrs",,,,66.42,4,14,66.42,4,14,,no women in title
Fire Equip Tech,27.25,1,21,27.25,2,134.5,27.25,3,96.67,100%,
Fire Lieut-80 Hrs,,,,48.48,5,7,48.48,5,7,,no women in title
Fire Lieut-91.40 Hrs,42.42,11,41.73,41.87,93,36.98,41.93,104,37.48,101.31%,
Fire Lieut-Admin-80 Hrs,,,,49.3,2,10,49.3,2,10,,no women in title
Fire Lieut-Dispatcher-84 Hrs,,,,49.62,4,162.75,49.62,4,162.75,,no women in title
Fire Lieut-HM-91.40 Hrs,43.81,1,3,43.85,8,46.13,43.85,9,41.33,99.9%,
Fire Lieut-MU-91.40 Hrs,,,,43.48,9,35,43.48,9,35,,no women in title
Fire Lieut-ParamedTechSr-84,,,,52.63,4,79.5,52.63,4,79.5,,no women in title
Fire Lieut-ParamedTechSrAMR-80,,,,57.12,1,21,57.12,1,21,,no women in title
Fire Lieut-ParamedTechSrEMS-80,,,,56.38,1,6,56.38,1,6,,no women in title
Fire Lieut-Prev Inspector I,52.09,2,196,51.4,7,112.86,51.55,9,131.33,101.35%,
Fire Lieut-Trng Div-80 Hrs,,,,49.42,6,10,49.42,6,10,,no women in title
Fire Lieut-TRT-91.40 Hrs,,,,43.81,3,52,43.81,3,52,,no women in title
Fire Protection Engr,,,,40.06,4,92.75,40.06,4,92.75,,no women in title
"Fire Protection Engr,Sr",,,,47.26,2,111,47.26,2,111,,no women in title
Fire Svcs Spec,,,,27.25,1,266,27.25,1,266,,no women in title
Fireboat Engr-91.40 Hrs,,,,48.44,4,52,48.44,4,52,,no women in title
Fireboat Pilot-91.40 Hrs,,,,47.49,4,29.25,47.49,4,29.25,,no women in title
Fireftr-80 Hrs,,,,40.93,2,12,40.93,2,12,,no women in title
Fireftr-91.40 Hrs,35.68,17,35.12,34.36,307,39.25,34.43,324,39.03,103.84%,
Fireftr-Ap Drvr-80 Hrs,,,,45.58,2,11.5,45.58,2,11.5,,no women in title
Fireftr-AP Drvr-91.40 Hrs,38.11,10,47.6,38.41,158,37.3,38.39,168,37.92,99.22%,
Fireftr-Dispatcher-84 Hrs,43.58,14,138.57,43.16,9,109.89,43.42,23,127.35,100.98%,
Fireftr-FIU Prev Insp I-84 Hrs,,,,43.72,7,99.29,43.72,7,99.29,,no women in title
Fireftr-HM Ap Drvr-80 Hrs,,,,45.58,1,5,45.58,1,5,,no women in title
Fireftr-HM Ap Drvr-91.40 Hrs,,,,41,16,41,41,16,41,,no women in title
Fireftr-HM-80 Hrs,,,,41.86,1,7,41.86,1,7,,no women in title
Fireftr-HM-91.40 Hrs,37.46,4,36.5,36.85,41,33.98,36.9,45,34.2,101.65%,
Fireftr-MU Ap Drvr-91.40 Hrs,,,,39.81,7,38.43,39.81,7,38.43,,no women in title
Fireftr-MU-91.40 Hrs,,,,37.76,28,33.96,37.76,28,33.96,,no women in title
Fireftr-ParamedTech-91.40 Hrs,40.71,2,27,40.26,15,23.4,40.31,17,23.82,101.11%,
Fireftr-ParamedTechSr-91.40,42.69,14,45.07,42.48,35,43.94,42.54,49,44.27,100.5%,
Fireftr-Prev Insp I,45.89,3,66.33,46.06,10,112.2,46.02,13,101.62,99.63%,
Fireftr-Staff10-91.40 Hrs,,,,39.98,4,35.25,39.98,4,35.25,,no women in title
Fireftr-TRT Ap Drvr-91.40 Hrs,41.21,1,52,40.77,3,40,40.88,4,43,101.08%,
Fireftr-TRT-91.40 Hrs,,,,37.56,16,36.88,37.56,16,36.88,,no women in title
Fireftr-TRT-R1 Ap Drvr-91.40,,,,40.39,4,30.25,40.39,4,30.25,,no women in title
Fleet Mgmt Anlyst,,,,36.3,1,364,36.3,1,364,,no women in title
Fleet Mgmt Coord,,,,34.94,1,16,34.94,1,16,,no women in title
Forest Maint CC,,,,33.93,1,66,33.93,1,66,,no women in title
Forest Maint Wkr,,,,27.37,5,74,27.37,5,74,,no women in title
"Forest Maint Wkr,Sr",29.41,1,121,29.41,1,56,29.41,2,88.5,100%,
Gardener,24.33,21,122.14,24,21,52.67,24.17,42,87.4,101.37%,
"Gardener,Asst",,,,21.77,1,22,21.77,1,22,,no women in title
"Gardener,Sr",27.14,9,101.22,27.18,15,111,27.17,24,107.33,99.84%,
Generation Supv,,,,54.61,1,200,54.61,1,200,,no women in title
Generation Supv-BU,,,,54.61,2,229,54.61,2,229,,no women in title
Golf Course Groundskeeper I,,,,13.75,3,48,13.75,3,48,,no women in title
Golf Course Groundskeeper II,18.12,2,19,18.12,4,28,18.12,6,25,100%,
Golf Course Maint Supv,,,,33.78,4,97,33.78,4,97,,no women in title
Golf Course Tech,,,,23.71,10,115.4,23.71,10,115.4,,no women in title
Grants&Contracts Spec,30.55,1,244,,,,30.55,1,244,,no men in title
"Grants&Contracts Spec,Sr",32.43,26,103.69,32.41,7,133.86,32.43,33,110.09,100.06%,
Graphic Arts Designer,29.61,3,107.33,29.99,1,73,29.7,4,98.75,98.72%,
Grounds Equip Mechanic,,,,27.62,6,87,27.62,6,87,,no women in title
"Grounds Equip Mechanic,Sr",,,,29.99,3,112,29.99,3,112,,no women in title
Grounds Maint CC,,,,33.38,2,37.5,33.38,2,37.5,,no women in title
Grounds Maint Lead Wkr,26.5,5,114,26.5,10,85.3,26.5,15,94.87,100%,
Hearing Examiner,72.07,1,116,,,,72.07,1,116,,no men in title
"Hearing Examiner,Dep",59.89,1,220,,,,59.89,1,220,,no men in title
Housing Ordinance Spec,31.16,1,61,,,,31.16,1,61,,no men in title
Housing Ordinance Supv,,,,36.3,1,141,36.3,1,141,,no women in title
Housing/Zoning Inspector,34.32,5,94,33.68,4,63.75,34.04,9,80.56,101.9%,
Housing/Zoning Inspector Supv,,,,39.96,1,113,39.96,1,113,,no women in title
"Housing/Zoning Inspector,Sr",36.3,1,80,36.3,1,11,36.3,2,45.5,100%,
Housing/Zoning Tech,26.26,2,50.5,,,,26.26,2,50.5,,no men in title
"Housing/Zoning Tech,Sr",,,,28.84,1,86,28.84,1,86,,no women in title
HRIS Spec,33.69,2,83,33.69,1,104,33.69,3,90,100%,
Human Svcs Coord,29.99,5,152,,,,29.99,5,152,,no men in title
Human Svcs Prgm Supv,35.96,4,73.5,,,,35.96,4,73.5,,no men in title
"Human Svcs Prgm Supv,Sr",37.25,5,50.2,37.82,4,74,37.5,9,60.78,98.48%,
HVAC Tech,,,,32.62,16,57,32.62,16,57,,no women in title
Hydro Maint Wkr I-Gen,,,,24.65,6,45.5,24.65,6,45.5,,no women in title
Hydro Maint Wkr II-Gen,,,,26,1,25,26,1,25,,no women in title
Hydroelec Maint Mach,,,,38.36,11,104.36,38.36,11,104.36,,no women in title
Hydroelec Maint Mach CC,,,,44.51,3,15.33,44.51,3,15.33,,no women in title
Hydroelec Op II,41.14,2,225,41.14,11,124.55,41.14,13,140,100%,
Identification Data Spec,24.22,6,55.33,24.36,2,64,24.25,8,57.5,99.42%,
Identification Tech,31.57,7,120,31.74,1,125,31.59,8,120.63,99.46%,
"Indus Hygienist,Certified",,,,44.74,1,5,44.74,1,5,,no women in title
Info Technol Prgmmer Anlyst,36.3,1,108,36.3,2,126.5,36.3,3,120.33,100%,
"Info Technol Prof A,Exempt",56.11,29,78.79,55.27,60,85.17,55.54,89,83.09,101.53%,
Info Technol Prof B,47.11,19,101.42,47.09,53,96.38,47.1,72,97.71,100.04%,
"Info Technol Prof B,Exempt",,,,49.58,2,124.5,49.58,2,124.5,,no women in title
Info Technol Prof B-BU,48.55,66,88.06,48.12,119,83.34,48.27,185,85.02,100.9%,
Info Technol Prof C,42.03,6,90.5,40.03,28,89.71,40.38,34,89.85,105.01%,
Info Technol Prof C-BU,41.29,13,69.23,40.35,48,60.17,40.55,61,62.1,102.33%,
Info Technol Spec,31.16,6,50.67,31.76,1,72,31.24,7,53.71,98.1%,
Info Technol Systs Anlyst,37.93,15,112.53,37.82,34,98.12,37.86,49,102.53,100.27%,
Info Technol Techl Support,25.77,2,85,,,,25.77,2,85,,no men in title
Inspection Support Anlyst,35,2,63.5,,,,35,2,63.5,,no men in title
Installation Maint Wkr,25.54,2,18.5,25.33,18,83.33,25.35,20,76.85,100.83%,
Investments/Debt Dir,,,,78.83,1,61,78.83,1,61,,no women in title
"Investments/Debt Dir,Asst",59.03,1,61,,,,59.03,1,61,,no men in title
IT Prgmmer Anlyst-Spec,,,,36.68,1,160,36.68,1,160,,no women in title
"Janitor,Lead-FAS/CL",20.96,1,68,20.96,3,59,20.96,4,61.25,100%,
"Janitor,Lead-SC/Parks/SPU",20.96,1,192,19.38,1,1,20.17,2,96.5,108.15%,
Janitor-FAS/CL,19.38,6,132.17,19.38,17,135.76,19.38,23,134.83,100%,
Janitorial CC-FAS,24.73,1,49,,,,24.73,1,49,,no men in title
Janitor-SC/Parks/SPU,19.38,8,88.5,19.38,5,103.8,19.38,13,94.38,100%,
Jrnywkr Asg Streetlighting,,,,42.37,2,134.5,42.37,2,134.5,,no women in title
Jrnywkr In Chg,44.63,1,11,44.63,10,89.5,44.63,11,82.36,100%,
Labor Relations Coord,48.45,3,54.33,49.05,1,49,48.6,4,53,98.78%,
Labor Relations Spec,42.25,2,75,,,,42.25,2,75,,no men in title
Labor Standards Tech,,,,29.99,1,103,29.99,1,103,,no women in title
Labor Standards Tech Supv,33.69,1,67,,,,33.69,1,67,,no men in title
Laborer,20.96,14,85.07,21.08,60,84.88,21.06,74,84.92,99.43%,
Laborer-Inserting Machine Op,,,,21.14,1,143,21.14,1,143,,no women in title
Land Use Plnr I,35.63,3,0,,,,35.63,3,0,,no men in title
Land Use Plnr II,39.2,4,143.5,37.82,4,98.5,38.51,8,121,103.64%,
Land Use Plnr III,41.16,7,43.71,41.97,11,82.36,41.66,18,67.33,98.07%,
Land Use Plnr IV,44.74,8,51.88,44.74,4,120.75,44.74,12,74.83,100%,
"Landscape Architect,Sr",44.74,3,186.33,44.74,1,175,44.74,4,183.5,100%,
Landscape Designer,30.85,1,62,,,,30.85,1,62,,no men in title
Landscape Supv,33.93,2,255,33.93,1,21,33.93,3,177,100%,
Latent Print Examiner,34.55,9,39.56,36.3,1,245,34.72,10,60.1,95.18%,
Latent Print Supv,39.96,1,262,,,,39.96,1,262,,no men in title
Legal Asst,24.9,14,97.71,23.88,1,15,24.83,15,92.2,104.26%,
Legislative Asst,32.95,13,70.31,33.16,14,57,33.06,27,63.41,99.39%,
Legislative Info Anlyst,,,,36.3,1,42,36.3,1,42,,no women in title
Legislative Info Spec I,22.96,1,42,22.96,1,42,22.96,2,42,100%,
Legislative Info Spec II,29.41,1,42,,,,29.41,1,42,,no men in title
Legislative Info Supv,36.3,1,42,,,,36.3,1,42,,no men in title
Licenses&Standards Inspector,31.89,7,91.86,33.32,11,194.45,32.76,18,154.56,95.72%,
Lifeguard,16.61,3,8,16.39,4,28,16.48,7,19.43,101.34%,
"Lifeguard,Sr",19.5,12,51.67,19.46,9,64.78,19.48,21,57.29,100.21%,
Line C CC,47.67,1,174,47.67,31,114.03,47.67,32,115.91,100%,
Line CC-Asg C Coord,47.67,1,29,47.67,5,59.8,47.67,6,54.67,100%,
Lnwkr,42.37,6,94.17,42.37,114,80.09,42.37,120,80.79,100%,
Lnwkr Aprn,35.17,1,20,35.24,17,28.18,35.24,18,27.72,99.8%,
Lnwkr-Asg Pwrline Clearance,,,,45.47,1,29,45.47,1,29,,no women in title
Lnwrkr-Asg Locator,,,,42.37,1,38,42.37,1,38,,no women in title
Lock Tech,,,,27.78,2,147,27.78,2,147,,no women in title
"Lock Tech,Sr",29.99,1,149,,,,29.99,1,149,,no men in title
Mach Spec,27.51,1,307,26.78,3,53.67,26.97,4,117,102.71%,
Magistrate,52.25,2,152.5,51.27,4,102,51.6,6,118.83,101.91%,
Maint Laborer,23.38,35,98.31,23.38,161,79.94,23.38,196,83.22,100%,
"Maint Laborer,Sr-Traffic",25.04,3,129.33,25.04,7,78.43,25.04,10,93.7,100%,
"Manager1,CL&PS",40.71,3,46.67,47.3,1,74,42.36,4,53.5,86.07%,
"Manager1,CSPI&P",43.13,7,119.14,,,,43.13,7,119.14,,no men in title
"Manager1,Exempt",47.33,1,147,34.55,1,15,40.94,2,81,136.97%,
"Manager1,Fin,Bud,&Actg",43.38,8,68.5,43.56,3,46,43.43,11,62.36,99.59%,
"Manager1,General Govt",43.02,7,57.43,37.62,2,39.5,41.82,9,53.44,114.34%,
"Manager1,Human Svcs",38.55,2,9,39.82,2,49.5,39.19,4,29.25,96.79%,
"Manager1,Info Technol",46.73,1,68,,,,46.73,1,68,,no men in title
"Manager1,P&FM",40.2,1,121,42.24,3,91.67,41.73,4,99,95.17%,
"Manager1,P&FM-BU",,,,45.12,1,57,45.12,1,57,,no women in title
"Manager1,Parks&Rec",42.14,4,58,39.19,4,46,40.66,8,52,107.55%,
"Manager1,PC&RM-BU",46.41,2,16.5,,,,46.41,2,16.5,,no men in title
"Manager1,Utils",,,,47.91,2,30.5,47.91,2,30.5,,no women in title
"Manager1,Utils-BU",41.37,1,63,47.39,1,0,44.38,2,31.5,87.29%,
"Manager2,CL&PS",45.03,2,142.5,47.28,1,132,45.78,3,139,95.25%,
"Manager2,CSPI&P",45.93,4,81,46.85,4,76.75,46.39,8,78.88,98.04%,
"Manager2,CSPI&P-BU",,,,48.73,1,53,48.73,1,53,,no women in title
"Manager2,Engrng&Plans Rev",51.07,4,69.75,50.27,13,69.85,50.46,17,69.82,101.58%,
"Manager2,Engrng&Plans Rev-BU",51.45,1,41,,,,51.45,1,41,,no men in title
"Manager2,Exempt",49.22,6,51.33,47.45,6,67.33,48.33,12,59.33,103.73%,
"Manager2,Fin,Bud,&Actg",48.59,10,64.2,49.86,4,49.25,48.95,14,59.93,97.44%,
"Manager2,Fin,Bud,&Actg-BU",45.03,2,108,49.24,4,130.5,47.84,6,123,91.46%,
"Manager2,General Govt",50.15,9,91.11,50.3,7,52.71,50.22,16,74.31,99.7%,
"Manager2,Human Svcs",43.39,7,60.71,46.42,2,80.5,44.06,9,65.11,93.46%,
"Manager2,Info Technol",47.66,4,69,51.48,6,111,49.95,10,94.2,92.57%,
"Manager2,P&FM",49.12,3,43.67,50.19,3,27.67,49.66,6,35.67,97.88%,
"Manager2,P&FM-BU",,,,48.61,1,57,48.61,1,57,,no women in title
"Manager2,Parks&Rec",47.68,4,123,47.5,2,115,47.62,6,120.33,100.38%,
"Manager2,PC&RM",50.29,1,3,,,,50.29,1,3,,no men in title
"Manager2,PC&RM-BU",,,,46.94,1,74,46.94,1,74,,no women in title
"Manager2,Utils",52.14,9,71.78,51.35,12,88.25,51.69,21,81.19,101.54%,
"Manager2,Utils-BU",51.33,2,60,49.16,5,33.2,49.78,7,40.86,104.41%,
"Manager3,CL&PS",,,,50.78,1,64,50.78,1,64,,no women in title
"Manager3,CSPI&P",51.56,1,39,50.07,1,122,50.81,2,80.5,102.98%,
"Manager3,Engrng&Plans Rev",55.58,9,111.89,56.67,21,77.29,56.34,30,87.67,98.06%,
"Manager3,Engrng&Plans Rev-BU",60.56,1,74,59.78,3,47.67,59.98,4,54.25,101.3%,
"Manager3,Exempt",52.21,4,19.5,53.8,6,29.17,53.17,10,25.3,97.05%,
"Manager3,Exempt-BU",55.52,2,46,,,,55.52,2,46,,no men in title
"Manager3,Fin,Bud,&Actg",52.7,4,68.5,52.7,3,37,52.7,7,55,99.99%,
"Manager3,General Govt",56.25,6,38.5,53.63,3,25,55.38,9,34,104.88%,
"Manager3,Human Svcs",49.28,2,12.5,,,,49.28,2,12.5,,no men in title
"Manager3,Info Technol",57.86,4,72.75,59.36,3,101.67,58.5,7,85.14,97.47%,
"Manager3,Info Technol-BU",,,,58.8,1,14,58.8,1,14,,no women in title
"Manager3,P&FM",,,,56.2,5,31.2,56.2,5,31.2,,no women in title
"Manager3,Parks&Rec",,,,52,1,1,52,1,1,,no women in title
"Manager3,PC&RM",52.69,2,46.5,,,,52.69,2,46.5,,no men in title
"Manager3,Utils",,,,55.65,12,95.17,55.65,12,95.17,,no women in title
"Manager3,Utils-BU",58.24,4,38.5,57.91,9,66.89,58.01,13,58.15,100.57%,
Marine Equip Svcr,,,,34.32,1,24,34.32,1,24,,no women in title
Marketing Dev Coord,38.85,4,39.25,,,,38.85,4,39.25,,no men in title
"Mat Controller,Prin-BU",35.14,3,8,,,,35.14,3,8,,no men in title
"Mat Controller,Sr",31.16,1,160,,,,31.16,1,160,,no men in title
"Mat Controller,Sr-BU",30.16,2,8,30.16,1,8,30.16,3,8,100%,
Mat Controller-BU,24.95,1,8,,,,24.95,1,8,,no men in title
"Mat Handling Supv,General",,,,37.7,1,35,37.7,1,35,,no women in title
"Mat Handling Supv,General-BU",37.7,1,167,,,,37.7,1,167,,no men in title
"Mat Suplr,Elec-Asg Equip Cust",38.2,1,63,38.2,1,25,38.2,2,44,100%,
"Mat Suplr,Elec-Asg Phd/Cw/D",33.96,1,1,33.96,4,71.25,33.96,5,57.2,100%,
Mat Suplr-Asg Leo/Pdm/Hb,34.13,1,89,36.09,11,78.64,35.93,12,79.5,94.57%,
"MatSup,Elec-Asg Cs &/or Cdt",,,,31.05,17,61.76,31.05,17,61.76,,no women in title
"MatSup,Elec-Asg OPVTCHBNSTR",,,,32.02,8,56.38,32.02,8,56.38,,no women in title
Mayor,,,,86.11,1,40,86.11,1,40,,no women in title
Mayoral Staff Asst 1,22.73,2,2.5,22.74,2,8,22.73,4,5.25,99.93%,
Mayoral Staff Asst 2,30.07,8,36.63,28.6,3,39.67,29.67,11,37.45,105.14%,
Mech Engr Supv,,,,54.66,1,157,54.66,1,157,,no women in title
"Mech Engr,Assoc",,,,40.86,1,382,40.86,1,382,,no women in title
"Mech Engr,Sr",,,,50.69,6,115,50.69,6,115,,no women in title
Mech Inspector Supv,,,,43.91,1,124,43.91,1,124,,no women in title
Mech Inspector(J),,,,38.81,3,80.67,38.81,3,80.67,,no women in title
Mech Plans Engr,,,,41.55,1,6,41.55,1,6,,no women in title
Mech Plans Engr Supv,,,,53.39,1,7,53.39,1,7,,no women in title
"Mech Plans Engr,Sr",50.07,1,43,44.8,1,7,47.44,2,25,111.76%,
Metal Fabricator,32.54,1,244,32.54,6,175.33,32.54,7,185.14,100%,
Metal Fabricator CC,,,,34.57,2,46.5,34.57,2,46.5,,no women in title
Meter Elctn,41.14,3,45.67,41.14,22,46.05,41.14,25,46,100%,
Meter Elctn Aprn,,,,31.68,2,15,31.68,2,15,,no women in title
Meter Elctn Working CC,46.28,1,23,46.28,7,43.71,46.28,8,41.13,100%,
Meter Reader,22.86,12,130.92,23,41,125.32,22.97,53,126.58,99.38%,
Meter Reader Supv,,,,30.69,3,82,30.69,3,82,,no women in title
"Meter Reader,Sr",27.31,2,151.5,26.72,7,91.29,26.85,9,104.67,102.2%,
Mgmt Systs Anlyst,35.4,24,63,34.27,9,40.78,35.09,33,56.94,103.29%,
Mgmt Systs Anlyst Supv,47.26,2,73.5,45.58,2,63.5,46.42,4,68.5,103.67%,
Mgmt Systs Anlyst Supv-BU,,,,47.26,1,74,47.26,1,74,,no women in title
"Mgmt Systs Anlyst,Asst",31.23,13,51.31,31.28,5,50,31.24,18,50.94,99.84%,
"Mgmt Systs Anlyst,Sr",41.79,40,57.7,41.81,25,67.04,41.8,65,61.29,99.96%,
Muni Court Marshal,,,,30.24,9,83.11,30.24,9,83.11,,no women in title
"Muni Court Marshal,Sr",35.39,1,16,,,,35.39,1,16,,no men in title
Muni Judge,64.48,3,191,64.48,4,88.25,64.48,7,132.29,100%,
Naturalist,26.28,2,70,27.78,1,142,26.78,3,94,94.58%,
"Naturalist,Sr",29.99,1,52,,,,29.99,1,52,,no men in title
Neighb District Coord,37.7,3,90,37.7,6,116.67,37.7,9,107.78,100%,
Noise Contrl Prgm Spec,,,,39.96,2,145.5,39.96,2,145.5,,no women in title
Ofc Asst-BU,17.99,1,99,,,,17.99,1,99,,no men in title
Ofc Equip Op,20.61,1,216,,,,20.61,1,216,,no men in title
Ofc/Maint Aide,14.45,19,109.21,14.75,37,79.51,14.65,56,89.59,97.93%,
OPA Review Board Member,5.11,2,19,5.11,3,30.33,5.11,5,25.8,100%,
"Opns CC,Sr-SC",,,,33.71,2,33.5,33.71,2,33.5,,no women in title
Opns CC-SC,,,,32.35,1,106,32.35,1,106,,no women in title
Opns Response Cntr Op,29.44,4,47.75,29.61,3,58,29.51,7,52.14,99.43%,
Overhead Elecl Suplr,,,,30.9,1,334,30.9,1,334,,no women in title
Paint&Body Supv,,,,34.75,1,99,34.75,1,99,,no women in title
Paralegal,30.71,13,67.62,30.91,4,87,30.75,17,72.18,99.35%,
Paralegal Asst II,26.45,3,130.33,26.79,1,195,26.53,4,146.5,98.73%,
Park Horticulturist,44.74,1,141,,,,44.74,1,141,,no men in title
Park Ranger,23.42,2,47,23.88,4,49,23.73,6,48.33,98.07%,
Parking Attendant,,,,19.87,3,102.67,19.87,3,102.67,,no women in title
"Parking Attendant,Sr",22.82,1,38,,,,22.82,1,38,,no men in title
Parking Enf Ofcr,24.53,50,123.5,24.51,55,85.78,24.52,105,103.74,100.07%,
Parking Enf Ofcr Supv,29.64,3,28.67,30.27,9,58.56,30.11,12,51.08,97.93%,
Parking Meter Collector,,,,21.36,5,227,21.36,5,227,,no women in title
"Parking Meter Collector,Supvsg",,,,25.77,1,190,25.77,1,190,,no women in title
"Parking Pay Stat Shop,Supv",35.18,1,40,,,,35.18,1,40,,no men in title
Parking Pay Stat Tech,,,,29.49,6,151.83,29.49,6,151.83,,no women in title
Parking&Traffic Coord,26.79,1,159,,,,26.79,1,159,,no men in title
Parks Concss Coord,36.99,2,95.5,,,,36.99,2,95.5,,no men in title
Parks Maint Aide,,,,14.48,8,46.38,14.48,8,46.38,,no women in title
Parks Maint CC,36.05,4,20,36.05,3,21,36.05,7,20.43,100%,
"Parks Special Events Schdlr,Sr",25.28,1,11,28.35,2,16,27.33,3,14.33,89.17%,
Parks Special Events Schedlr,26.26,5,135.2,26.26,1,75,26.26,6,125.17,100%,
Passenger & Tugboat Op,,,,29.68,1,144,29.68,1,144,,no women in title
"Passenger & Tugboat Op,Sr",,,,32.67,1,84,32.67,1,84,,no women in title
Payroll Supv,37.7,4,142,37.7,1,16,37.7,5,116.8,100%,
Permit Process Leader,42.6,3,34,44.74,3,101,43.67,6,67.5,95.22%,
Permit Spec I,31.61,12,46.75,31.59,3,44.33,31.6,15,46.27,100.05%,
Permit Spec II,31.84,4,0,31.97,5,29.2,31.91,9,16.22,99.59%,
Permit Spec Supv,,,,37.7,1,84,37.7,1,84,,no women in title
Permit Tech,26.99,6,40.67,28.35,2,81,27.33,8,50.75,95.2%,
Permit Tech Supv,33.69,1,33,,,,33.69,1,33,,no men in title
Personnel Anlyst,36.3,3,72.33,,,,36.3,3,72.33,,no men in title
Personnel Anlyst Supv,49.05,2,45.5,,,,49.05,2,45.5,,no men in title
Personnel Anlyst Supv-Comp,49.05,1,64,,,,49.05,1,64,,no men in title
"Personnel Anlyst,Sr",40.27,3,61.33,,,,40.27,3,61.33,,no men in title
"Personnel Anlyst,Sr-Comp",39.97,2,16.5,42.25,2,54.5,41.11,4,35.5,94.6%,
Personnel Spec,32.39,18,73.72,33.69,5,87.4,32.68,23,76.7,96.15%,
"Personnel Spec,Asst",26.08,11,65.73,25.82,3,51,26.02,14,62.57,101%,
"Personnel Spec,Sr",35.45,20,60.75,36.3,5,79.4,35.62,25,64.48,97.66%,
"Personnel Spec,Supvsng",,,,43.91,2,122.5,43.91,2,122.5,,no women in title
"Photographer,Sr",,,,32.79,2,177.5,32.79,2,177.5,,no women in title
Photographic Svcs Supv,,,,35.43,1,23,35.43,1,23,,no women in title
Plng&Dev Spec I,34.17,8,88.25,34.94,2,155,34.32,10,101.6,97.78%,
Plng&Dev Spec II,37.54,33,104.58,37.21,11,96.64,37.45,44,102.59,100.88%,
"Plng&Dev Spec,Sr",41.6,30,56.7,42.32,28,64.39,41.95,58,60.41,98.29%,
"Plng&Dev Spec,Supvsng",45.74,5,58,46.41,3,44,45.99,8,52.75,98.56%,
"Plng&Dev Spec,Supvsng-BU",46.41,1,47,,,,46.41,1,47,,no men in title
Plnt Ecologist,33.09,1,35,31.82,2,34.5,32.24,3,34.67,103.99%,
Plumber,,,,34.08,16,148.56,34.08,16,148.56,,no women in title
Plumber Aprn,,,,28.78,1,59,28.78,1,59,,no women in title
Plumber CC,,,,40.59,2,104.5,40.59,2,104.5,,no women in title
"Plumber,Sr",36.9,1,127,36.9,2,136.5,36.9,3,133.33,100%,
Pmp Stat CC,,,,40.76,1,77,40.76,1,77,,no women in title
